dataset,id,segment_id,stage,audited_stage,audit_status
gsm8k,gsm8k-test-449,2,final,final,reviewed_correct
gsm8k,gsm8k-test-352,4,final,final,reviewed_correct
gsm8k,gsm8k-test-1146,4,final,final,reviewed_correct
gsm8k,gsm8k-test-117,2,final,final,reviewed_correct
gsm8k,gsm8k-test-457,4,final,final,reviewed_correct
gsm8k,gsm8k-test-440,5,final,final,reviewed_correct
gsm8k,gsm8k-test-152,3,final,final,reviewed_correct
gsm8k,gsm8k-test-1103,4,final,final,reviewed_correct
gsm8k,gsm8k-test-28,5,final,final,reviewed_correct
gsm8k,gsm8k-test-222,2,final,final,reviewed_correct
gsm8k,gsm8k-test-190,3,final,final,reviewed_correct
gsm8k,gsm8k-test-594,4,final,final,reviewed_correct
gsm8k,gsm8k-test-578,5,final,final,reviewed_correct
gsm8k,gsm8k-test-633,2,final,final,reviewed_correct
gsm8k,gsm8k-test-1117,2,final,final,reviewed_correct
gsm8k,gsm8k-test-262,1,final,final,reviewed_correct
gsm8k,gsm8k-test-1099,5,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-345,2,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-863,3,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-38,5,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-1151,0,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-156,3,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-581,1,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-343,0,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-202,0,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-866,0,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-480,0,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-959,2,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-484,4,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-1087,5,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-1115,1,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-885,0,reasoning,setup,reviewed_corrected
gsm8k,gsm8k-test-653,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-1178,1,setup,setup,reviewed_correct
gsm8k,gsm8k-test-541,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-321,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-146,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-983,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-818,3,setup,setup,reviewed_correct
gsm8k,gsm8k-test-857,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-1149,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-889,1,setup,setup,reviewed_correct
gsm8k,gsm8k-test-232,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-214,2,setup,setup,reviewed_correct
gsm8k,gsm8k-test-461,1,setup,setup,reviewed_correct
gsm8k,gsm8k-test-588,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-237,0,setup,setup,reviewed_correct
gsm8k,gsm8k-test-765,1,setup,setup,reviewed_correct
math500,test/algebra/24.json,4,final,final,reviewed_correct
math500,test/algebra/1936.json,5,final,final,reviewed_correct
math500,test/algebra/668.json,4,final,final,reviewed_correct
math500,test/intermediate_algebra/1123.json,4,final,final,reviewed_correct
math500,test/algebra/2264.json,3,final,final,reviewed_correct
math500,test/algebra/2157.json,3,final,final,reviewed_correct
math500,test/algebra/2593.json,3,final,final,reviewed_correct
math500,test/algebra/187.json,5,final,final,reviewed_correct
math500,test/intermediate_algebra/199.json,3,final,final,reviewed_correct
math500,test/algebra/1842.json,2,final,final,reviewed_correct
math500,test/prealgebra/1458.json,3,final,final,reviewed_correct
math500,test/algebra/769.json,3,final,final,reviewed_correct
math500,test/algebra/2789.json,4,final,final,reviewed_correct
math500,test/intermediate_algebra/2046.json,5,final,final,reviewed_correct
math500,test/prealgebra/1784.json,5,final,final,reviewed_correct
math500,test/prealgebra/192.json,4,final,final,reviewed_correct
math500,test/algebra/1937.json,0,reasoning,reasoning,reviewed_correct
math500,test/algebra/2570.json,2,reasoning,reasoning,reviewed_correct
math500,test/algebra/1457.json,2,reasoning,reasoning,reviewed_correct
math500,test/number_theory/769.json,1,reasoning,reasoning,reviewed_correct
math500,test/number_theory/864.json,2,reasoning,reasoning,reviewed_correct
math500,test/intermediate_algebra/1217.json,2,reasoning,reasoning,reviewed_correct
math500,test/precalculus/541.json,1,reasoning,setup,reviewed_corrected
math500,test/counting_and_probability/765.json,3,reasoning,setup,reviewed_corrected
math500,test/prealgebra/1436.json,3,reasoning,setup,reviewed_corrected
math500,test/algebra/2779.json,1,reasoning,reasoning,reviewed_correct
math500,test/number_theory/911.json,5,reasoning,reasoning,reviewed_correct
math500,test/algebra/733.json,3,reasoning,reasoning,reviewed_correct
math500,test/prealgebra/977.json,3,reasoning,reasoning,reviewed_correct
math500,test/intermediate_algebra/207.json,1,reasoning,reasoning,reviewed_correct
math500,test/algebra/524.json,2,reasoning,reasoning,reviewed_correct
math500,test/algebra/1282.json,1,reasoning,reasoning,reviewed_correct
math500,test/prealgebra/1747.json,0,setup,setup,reviewed_correct
math500,test/number_theory/72.json,0,setup,reasoning,reviewed_corrected
math500,test/prealgebra/631.json,2,setup,setup,reviewed_correct
math500,test/intermediate_algebra/623.json,0,setup,setup,reviewed_correct
math500,test/precalculus/356.json,0,setup,reasoning,reviewed_corrected
math500,test/algebra/776.json,0,setup,reasoning,reviewed_corrected
math500,test/prealgebra/1761.json,0,setup,reasoning,reviewed_corrected
math500,test/number_theory/459.json,0,setup,setup,reviewed_correct
math500,test/counting_and_probability/389.json,0,setup,reasoning,reviewed_corrected
math500,test/intermediate_algebra/1247.json,0,setup,reasoning,reviewed_corrected
math500,test/algebra/1936.json,0,setup,setup,reviewed_correct
math500,test/algebra/694.json,0,setup,setup,reviewed_correct
math500,test/intermediate_algebra/1365.json,0,setup,setup,reviewed_correct
math500,test/prealgebra/930.json,0,setup,setup,reviewed_correct
math500,test/prealgebra/2057.json,5,setup,reasoning,reviewed_corrected
math500,test/precalculus/1252.json,0,setup,setup,reviewed_correct
math500,test/counting_and_probability/116.json,3,reasoning,reasoning,reviewed_correct
math500,test/geometry/106.json,0,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-418,3,reasoning,reasoning,reviewed_correct
gsm8k,gsm8k-test-52,4,reasoning,reasoning,reviewed_correct
